LOCATION,DATE,Interest_Rate
DEU,12/31/11,6.13
DEU,3/31/12,6.06
DEU,6/30/12,5.87
DEU,9/30/12,5.76
DEU,12/31/12,5.65
DEU,3/31/13,5.6
DEU,6/30/13,5.53
DEU,9/30/13,5.48
DEU,12/31/13,5.39
DEU,3/31/14,5.36
DEU,6/30/14,5.32
DEU,9/30/14,5.24
DEU,12/31/14,5.14
DEU,3/31/15,5.08
DEU,6/30/15,4.99
DEU,9/30/15,4.9
DEU,12/31/15,4.8
DEU,3/31/16,4.74
DEU,6/30/16,4.66
DEU,9/30/16,4.58
DEU,12/31/16,4.49
DEU,3/31/17,4.44
DEU,6/30/17,4.38
DEU,9/30/17,4.32
DEU,12/31/17,4.26
DEU,3/31/18,4.23
DEU,6/30/18,4.2
DEU,9/30/18,4.17
DEU,12/31/18,4.13
DEU,1/31/19,1.92
DEU,4/30/19,2.03
DEU,7/31/19,2
DEU,10/31/19,1.88
DEU,1/31/20,1.91
DEU,4/30/20,1.98
DEU,7/31/20,1.9
DEU,10/31/20,1.87
DEU,1/31/21,1.96
DEU,4/30/21,1.79
DEU,7/31/21,1.78
DEU,10/31/21,1.65
DEU,1/31/22,1.77
DEU,4/30/22,1.77
DEU,7/31/22,1.87
DEU,10/31/22,3.04
DEU,1/31/23,4.72
DEU,4/30/23,5.49
DEU,7/31/23,7.06
IRE,3/31/00,
IRE,6/30/00,
IRE,9/30/00,
IRE,12/31/00,
IRE,3/31/01,
IRE,6/30/01,
IRE,9/30/01,
IRE,12/31/01,
IRE,3/31/02,
IRE,6/30/02,
IRE,9/30/02,
IRE,12/31/02,
IRE,3/31/03,7.24
IRE,6/30/03,7.06
IRE,9/30/03,6.97
IRE,12/31/03,6.77
IRE,3/31/04,6.73
IRE,6/30/04,6.61
IRE,9/30/04,6.53
IRE,12/31/04,6.32
IRE,3/31/05,6.26
IRE,6/30/05,6.13
IRE,9/30/05,6
IRE,12/31/05,6.18
IRE,3/31/06,6.47
IRE,6/30/06,6.58
IRE,9/30/06,6.73
IRE,12/31/06,7.08
IRE,3/31/07,7.15
IRE,6/30/07,7.3
IRE,9/30/07,7.5
IRE,12/31/07,7.64
IRE,3/31/08,7.58
IRE,6/30/08,7.73
IRE,9/30/08,8.01
IRE,12/31/08,6.85
IRE,3/31/09,5.99
IRE,6/30/09,5.57
IRE,9/30/09,5.52
IRE,12/31/09,5.43
IRE,3/31/10,5.5
IRE,6/30/10,5.09
IRE,9/30/10,5.26
IRE,12/31/10,5.29
IRE,3/31/11,5.38
IRE,6/30/11,5.6
