LOCATION,TIME,TERMTRADE
MEX,2022,99.86166934
NLD,1995,97.68555789
NLD,1996,97.62096603
NLD,1997,98.77310337
NLD,1998,100.0231574
NLD,1999,99.28986609
NLD,2000,99.21866964
NLD,2001,100.699517
NLD,2002,101.4772697
NLD,2003,101.4944167
NLD,2004,101.0545368
NLD,2005,101.3575227
NLD,2006,101.4741103
NLD,2007,101.1954571
NLD,2008,101.0331895
NLD,2009,101.9202225
NLD,2010,100.1120421
NLD,2011,98.57453677
NLD,2012,98.60034019
NLD,2013,98.96891073
NLD,2014,98.88486799
NLD,2015,100
NLD,2016,100.5781969
NLD,2017,100.3525324
NLD,2018,100.216486
NLD,2019,100.7900197
NLD,2020,101.4795748
NLD,2021,100.3770487
NLD,2022,97.62882715
NZL,1995,80.73339109
NZL,1996,81.68948623
NZL,1997,79.18078645
NZL,1998,78.63610073
NZL,1999,76.97746944
NZL,2000,78.75915228
NZL,2001,81.2119829
NZL,2002,80.1946266
NZL,2003,85.24951711
NZL,2004,88.99699281
NZL,2005,88.31231405
NZL,2006,87.08733547
NZL,2007,94.23451515
NZL,2008,92.65583806
NZL,2009,88.51134189
NZL,2010,95.46019677
NZL,2011,96.84919792
NZL,2012,92.61472192
NZL,2013,103.3720176
NZL,2014,103.1303162
NZL,2015,100
NZL,2016,102.9354494
NZL,2017,107.1751558
NZL,2018,104.376049
NZL,2019,106.8895525
NZL,2020,105.7036996
NZL,2021,106.3853536
NZL,2022,101.2929413
NOR,1995,60.11918025
NOR,1996,63.8281315
NOR,1997,64.91111808
NOR,1998,59.16989741
NOR,1999,66.02404088
NOR,2000,84.16987965
NOR,2001,82.45589344
NOR,2002,78.13517321
NOR,2003,78.65062788
NOR,2004,85.02466362
NOR,2005,98.32208405
NOR,2006,109.9409597
NOR,2007,108.0413564
NOR,2008,121.8723401
NOR,2009,101.7459154
NOR,2010,108.7222635
NOR,2011,118.4991642
NOR,2012,121.6058252
NOR,2013,121.3834894
NOR,2014,113.7938733
NOR,2015,100
NOR,2016,90.82836659
NOR,2017,95.3651167
NOR,2018,104.0916746
NOR,2019,95.50493401
NOR,2020,80.08532722
NOR,2021,114.7728847
NOR,2022,166.5642162
POL,1995,101.9040172
POL,1996,99.30714418
POL,1997,97.86324563
POL,1998,99.84532608
POL,1999,98.63517721
POL,2000,92.66061583
POL,2001,92.6759912
POL,2002,92.02481056
POL,2003,91.59265652
