DATE,Austria,Belgium,Germany,Estonia,Finland,France,Greece,Ireland,Netherlands,Bank interest rates - loans to corporations of up to EUR 0.25M with a floating rate and an IRF period of up to three months (new business) - Portugal (MIR.M.PT.B.A2A.D.R.2.2240.EUR.N),Slovenia 
8/31/15,2.24,1.89,3.02,2.97,3.18,1.68,5.72,,,4.98,3.54
9/30/15,2.27,1.94,3.15,2.87,3.09,1.93,6.09,,,4.82,3.27
10/31/15,2.17,1.91,3.09,3.18,3.26,2.04,6.26,,,4.73,3.47
11/30/15,2.2,1.86,3.11,3.08,3.66,1.87,5.67,,,4.56,3.66
12/31/15,2.24,1.88,3.01,3.22,3.2,2.03,5.91,,,4.55,3.38
1/31/16,2.04,1.92,2.99,3.04,3.28,2.24,5.63,,,4.7,3.33
2/29/16,2.42,1.9,3.14,3.05,3.17,2.33,5.62,,,4.47,3.41
3/31/16,2.4,1.89,3.05,2.87,3.04,2.32,5.62,,,4.27,3.21
4/30/16,2.27,1.87,2.94,3.03,2.89,2.26,5.82,,,4.32,2.96
5/31/16,2.24,1.86,2.9,3.33,2.8,2.31,5.97,,,4.27,3
6/30/16,2.25,1.86,2.91,3.12,2.93,2.34,5.68,,,4.2,3.12
7/31/16,2.24,1.86,2.88,2.74,3.01,2.33,6.15,,,4.22,2.88
8/31/16,2.3,1.84,2.8,3.18,3.2,2.27,5.82,,,4.12,2.94
9/30/16,2.3,1.85,2.83,3.03,3.08,2.24,5.72,,,4.11,3.01
10/31/16,2.27,1.83,2.73,2.95,2.97,2.17,5.87,,,4.1,2.98
11/30/16,2.31,1.82,2.69,3.24,2.91,2.11,5.41,,,4.09,3.03
12/31/16,2.16,1.82,2.78,3.19,2.87,2.17,5.28,,,3.94,2.74
1/31/17,2.19,1.81,2.81,2.9,2.81,2.03,5.27,,,4.11,3.16
2/28/17,2.26,1.79,2.86,3.18,2.9,2.07,5.16,,,3.91,3.33
3/31/17,2.25,1.81,2.8,2.93,2.7,2.07,5.34,,,3.88,3.11
4/30/17,2.06,1.79,2.72,3.01,2.75,2.07,5.27,,,3.93,3.24
5/31/17,1.96,1.79,2.77,2.85,2.65,2.04,5.26,,,3.67,3.09
6/30/17,1.92,1.81,2.77,3.09,2.61,2.11,5.26,,,3.7,2.82
7/31/17,2,1.8,2.74,3,2.78,2.16,5.25,5.3,,3.72,2.86
8/31/17,2.05,1.78,2.7,2.84,2.9,2.14,5.33,5.2,,3.75,2.71
9/30/17,2.1,1.8,2.69,3,2.82,2.06,5.44,4.94,,3.66,2.78
10/31/17,1.9,1.79,2.75,3.18,2.74,2.03,5.71,5.01,,3.73,2.68
11/30/17,1.97,1.79,2.76,2.95,2.86,2,5.25,5.56,,3.56,2.69
12/31/17,1.96,1.8,2.84,3.19,3,1.93,5.22,5.05,3.11,3.51,2.69
1/31/18,2,1.79,2.81,3.05,2.96,2.01,5.44,5.24,3.05,3.49,2.74
2/28/18,2.08,1.76,2.76,3.34,3.02,2.02,5.05,5.52,2.71,3.53,2.99
3/31/18,2.08,1.77,2.82,3.06,2.84,2.04,5.2,4.51,2.96,3.46,2.76
4/30/18,2,1.75,2.79,2.94,2.89,2.04,5.08,5.31,3.08,3.59,2.85
5/31/18,2.03,1.76,2.38,2.7,2.89,2.01,5.17,5.44,3.12,3.43,2.87
6/30/18,2.01,1.77,2.32,2.89,2.69,2.09,5.28,5.43,2.98,3.16,2.52
7/31/18,1.96,1.76,2.11,3.01,3.14,2.06,5.44,5.42,3.06,3.34,2.62
8/31/18,2.06,1.75,2.03,3.11,3.45,2.1,5.12,5.16,3.1,3.41,2.66
9/30/18,2.25,1.74,1.98,3.17,3.87,1.97,5.29,5.09,3.06,3.42,2.58
10/31/18,2.24,1.75,1.97,2.94,3.59,1.88,5.07,5.39,3.02,3.44,2.7
11/30/18,2.22,1.73,1.98,3.07,3.74,1.89,5.01,5.26,2.94,3.39,2.72
12/31/18,2.19,1.72,2.05,3,3.91,1.91,5.18,4.94,2.93,3.33,2.32
