LOCATION,TIME,SHPRICE
CZE,2003-Q1,47.55485
CZE,2003-Q2,53.72123
CZE,2003-Q3,59.04513
CZE,2003-Q4,63.36113
CZE,2004-Q1,74.11353
CZE,2004-Q2,80.24449
CZE,2004-Q3,81.0833
CZE,2004-Q4,96.19213
CZE,2005-Q1,113.6977
CZE,2005-Q2,116.5717
CZE,2005-Q3,131.6502
CZE,2005-Q4,141.022
CZE,2006-Q1,153.2763
CZE,2006-Q2,142.7829
CZE,2006-Q3,142.0523
CZE,2006-Q4,155.2232
CZE,2007-Q1,166.2142
CZE,2007-Q2,182.1355
CZE,2007-Q3,180.2139
CZE,2007-Q4,183.5003
CZE,2008-Q1,156.0209
CZE,2008-Q2,160.8145
CZE,2008-Q3,140.473
CZE,2008-Q4,87.64301
CZE,2009-Q1,74.53861
CZE,2009-Q2,89.4065
CZE,2009-Q3,108.0507
CZE,2009-Q4,113.8932
CZE,2010-Q1,116.9677
CZE,2010-Q2,120.1986
CZE,2010-Q3,116.033
CZE,2010-Q4,116.5183
CZE,2011-Q1,124.26
CZE,2011-Q2,124.5955
CZE,2011-Q3,106.6986
CZE,2011-Q4,90.16778
CZE,2012-Q1,97.65118
CZE,2012-Q2,90.50096
CZE,2012-Q3,93.27202
CZE,2012-Q4,99.40131
CZE,2013-Q1,101.5561
CZE,2013-Q2,95.28783
CZE,2013-Q3,93.97782
CZE,2013-Q4,99.63892
CZE,2014-Q1,100.7915
CZE,2014-Q2,101.4014
CZE,2014-Q3,97.64884
CZE,2014-Q4,96.93903
CZE,2015-Q1,99.77894
CZE,2015-Q2,102.5383
CZE,2015-Q3,100.736
CZE,2015-Q4,96.94672
CZE,2016-Q1,89.3908
CZE,2016-Q2,87.78905
CZE,2016-Q3,86.3574
CZE,2016-Q4,90.49661
CZE,2017-Q1,95.88869
CZE,2017-Q2,99.933
CZE,2017-Q3,102.5333
CZE,2017-Q4,106.2875
CZE,2018-Q1,111.8099
CZE,2018-Q2,110.1534
CZE,2018-Q3,108.6318
CZE,2018-Q4,105.9239
CZE,2019-Q1,105.1406
CZE,2019-Q2,106.6962
CZE,2019-Q3,104.7105
CZE,2019-Q4,107.2904
CZE,2020-Q1,101.6474
CZE,2020-Q2,88.41531
CZE,2020-Q3,91.03031
CZE,2020-Q4,92.80048
CZE,2021-Q1,106.5622
CZE,2021-Q2,113.5534
CZE,2021-Q3,124.9695
CZE,2021-Q4,137.6772
CZE,2022-Q1,139.6733
CZE,2022-Q2,133.1232
CZE,2022-Q3,121.2647
CZE,2022-Q4,119.6332
CZE,2023-Q1,134.1068
CZE,2023-Q2,135.4505
CZE,2023-Q3,134.0967
DNK,1995-Q1,12.67315
DNK,1995-Q2,12.91828
DNK,1995-Q3,13.48207
DNK,1995-Q4,13.31048
DNK,1996-Q1,14.21933
DNK,1996-Q2,14.80041
DNK,1996-Q3,15.51511
DNK,1996-Q4,16.83311
DNK,1997-Q1,19.56301
DNK,1997-Q2,20.83919
DNK,1997-Q3,23.18294
DNK,1997-Q4,23.77172
DNK,1998-Q1,26.2089
DNK,1998-Q2,27.6032
DNK,1998-Q3,25.38336
DNK,1998-Q4,22.45805
DNK,1999-Q1,23.04013
DNK,1999-Q2,23.42829
DNK,1999-Q3,24.91324
DNK,1999-Q4,26.95926
DNK,2000-Q1,30.58923
DNK,2000-Q2,31.79605
DNK,2000-Q3,34.9766
DNK,2000-Q4,35.54208
DNK,2001-Q1,34.5927
DNK,2001-Q2,32.66955
DNK,2001-Q3,30.97449
DNK,2001-Q4,27.92808
DNK,2002-Q1,29.00753
DNK,2002-Q2,28.12274
DNK,2002-Q3,24.48195
DNK,2002-Q4,22.42015
DNK,2003-Q1,21.53219
DNK,2003-Q2,24.17483
DNK,2003-Q3,27.32828
DNK,2003-Q4,29.62991
DNK,2004-Q1,32.18583
DNK,2004-Q2,31.58739
DNK,2004-Q3,32.91841
DNK,2004-Q4,34.66225
DNK,2005-Q1,37.83558
DNK,2005-Q2,40.73611
DNK,2005-Q3,45.49655
DNK,2005-Q4,46.60807
DNK,2006-Q1,50.79266
DNK,2006-Q2,49.21502
DNK,2006-Q3,48.76969
DNK,2006-Q4,54.63895
DNK,2007-Q1,59.75891
DNK,2007-Q2,63.41731
DNK,2007-Q3,65.45969
DNK,2007-Q4,63.47196
DNK,2008-Q1,54.58746
DNK,2008-Q2,55.93836
DNK,2008-Q3,50.41823
DNK,2008-Q4,33.98748
DNK,2009-Q1,30.43431
DNK,2009-Q2,33.98793
DNK,2009-Q3,38.22626
DNK,2009-Q4,40.26774
DNK,2010-Q1,43.79923
DNK,2010-Q2,47.34201
DNK,2010-Q3,48.20422
DNK,2010-Q4,51.02209
DNK,2011-Q1,54.04502
DNK,2011-Q2,52.20543
DNK,2011-Q3,44.01738
DNK,2011-Q4,41.96642
DNK,2012-Q1,48.94764
DNK,2012-Q2,49.71049
DNK,2012-Q3,53.29301
DNK,2012-Q4,54.38376
DNK,2013-Q1,59.19795
DNK,2013-Q2,59.4152
DNK,2013-Q3,62.34373
DNK,2013-Q4,66.78711
DNK,2014-Q1,75.96925
DNK,2014-Q2,80.13893
DNK,2014-Q3,82.59503
DNK,2014-Q4,81.87509
DNK,2015-Q1,91.70219
DNK,2015-Q2,103.307
DNK,2015-Q3,102.4326
DNK,2015-Q4,102.5582
DNK,2016-Q1,99.42685
DNK,2016-Q2,101.0587
DNK,2016-Q3,101.5523
DNK,2016-Q4,94.87959
DNK,2017-Q1,100.7628
DNK,2017-Q2,108.4803
DNK,2017-Q3,112.3392
DNK,2017-Q4,113.5623
DNK,2018-Q1,112.1789
DNK,2018-Q2,112.2371
DNK,2018-Q3,115.3405
DNK,2018-Q4,105.3056
DNK,2019-Q1,109.8985
DNK,2019-Q2,114.5383
DNK,2019-Q3,116.0252
DNK,2019-Q4,121.7124
DNK,2020-Q1,126.0763
DNK,2020-Q2,128.0636
DNK,2020-Q3,142.9045
DNK,2020-Q4,154.8002
DNK,2021-Q1,163.4964
DNK,2021-Q2,174.5673
DNK,2021-Q3,193.4537
DNK,2021-Q4,195.2621
DNK,2022-Q1,182.9853
DNK,2022-Q2,181.5368
DNK,2022-Q3,179.0206
DNK,2022-Q4,177.9904
DNK,2023-Q1,195.0444
DNK,2023-Q2,205.3368
DNK,2023-Q3,207.3588
FIN,1995-Q1,20.88671
FIN,1995-Q2,21.34614
FIN,1995-Q3,25.49678
FIN,1995-Q4,22.33177
FIN,1996-Q1,21.0909
FIN,1996-Q2,23.09357
FIN,1996-Q3,24.40513
FIN,1996-Q4,27.40914
FIN,1997-Q1,33.10694
FIN,1997-Q2,35.36486
FIN,1997-Q3,41.00376
FIN,1997-Q4,41.16869
FIN,1998-Q1,45.27613
FIN,1998-Q2,56.7542
FIN,1998-Q3,56.78954
FIN,1998-Q4,54.45309
FIN,1999-Q1,71.71142
FIN,1999-Q2,82.2392
FIN,1999-Q3,90.78001
FIN,1999-Q4,122.4183
FIN,2000-Q1,185.5646
FIN,2000-Q2,191.5637
FIN,2000-Q3,169.9141
FIN,2000-Q4,154.2189
FIN,2001-Q1,117.1513
FIN,2001-Q2,112.4259
FIN,2001-Q3,81.03127
FIN,2001-Q4,92.91734
FIN,2002-Q1,98.20565
FIN,2002-Q2,78.75867
FIN,2002-Q3,64.44026
FIN,2002-Q4,71.10292
FIN,2003-Q1,62.72908
FIN,2003-Q2,64.95416
FIN,2003-Q3,67.07959
FIN,2003-Q4,72.49019
FIN,2004-Q1,80.08327
FIN,2004-Q2,68.73655
FIN,2004-Q3,65.42118
FIN,2004-Q4,73.02553
FIN,2005-Q1,76.59261
FIN,2005-Q2,80.7637
FIN,2005-Q3,87.79438
FIN,2005-Q4,91.73615
FIN,2006-Q1,103.3905
FIN,2006-Q2,106.0327
FIN,2006-Q3,101.8861
FIN,2006-Q4,109.4543
FIN,2007-Q1,118.0592
FIN,2007-Q2,129.7685
FIN,2007-Q3,135.2697
FIN,2007-Q4,140.3171
FIN,2008-Q1,121.8721
FIN,2008-Q2,112.0437
FIN,2008-Q3,96.0913
FIN,2008-Q4,67.83739
FIN,2009-Q1,57.94218
FIN,2009-Q2,65.49186
FIN,2009-Q3,70.46124
FIN,2009-Q4,73.39708
FIN,2010-Q1,79.87581
FIN,2010-Q2,79.65073
FIN,2010-Q3,78.78172
FIN,2010-Q4,86.57636
FIN,2011-Q1,89.57017
FIN,2011-Q2,84.34947
FIN,2011-Q3,67.92723
FIN,2011-Q4,64.01809
FIN,2012-Q1,70.20431
FIN,2012-Q2,62.56705
FIN,2012-Q3,62.87916
FIN,2012-Q4,66.29026
FIN,2013-Q1,72.80339
FIN,2013-Q2,72.14584
FIN,2013-Q3,75.82691
FIN,2013-Q4,84.02162
FIN,2014-Q1,86.52814
FIN,2014-Q2,88.5025
FIN,2014-Q3,89.59765
FIN,2014-Q4,89.76823
FIN,2015-Q1,101.2663
FIN,2015-Q2,102.7234
FIN,2015-Q3,96.79408
FIN,2015-Q4,99.21618
FIN,2016-Q1,94.29789
FIN,2016-Q2,92.5589
FIN,2016-Q3,98.43494
FIN,2016-Q4,100.6996
FIN,2017-Q1,106.0368
FIN,2017-Q2,112.6739
FIN,2017-Q3,112.8897
FIN,2017-Q4,113.2599
FIN,2018-Q1,114.9593
FIN,2018-Q2,117.6705
FIN,2018-Q3,119.1564
FIN,2018-Q4,108.4174
FIN,2019-Q1,112.4998
FIN,2019-Q2,110.7731
FIN,2019-Q3,109.0135
FIN,2019-Q4,112.6485
FIN,2020-Q1,111.4964
FIN,2020-Q2,102.5357
FIN,2020-Q3,115.1343
FIN,2020-Q4,123.0307
FIN,2021-Q1,133.3285
FIN,2021-Q2,142.2299
FIN,2021-Q3,152.8097
FIN,2021-Q4,148.9248
FIN,2022-Q1,139.0127
FIN,2022-Q2,128.7729
FIN,2022-Q3,124.4399
FIN,2022-Q4,125.8909
FIN,2023-Q1,130.6213
FIN,2023-Q2,122.9205
FIN,2023-Q3,115.1546
FRA,1995-Q1,32.46714
FRA,1995-Q2,34.16549
FRA,1995-Q3,33.88453
FRA,1995-Q4,32.56695
FRA,1996-Q1,35.55295
FRA,1996-Q2,38.6004
FRA,1996-Q3,37.24735
FRA,1996-Q4,40.13013
FRA,1997-Q1,45.98189
FRA,1997-Q2,47.75406
FRA,1997-Q3,51.7781
FRA,1997-Q4,50.13906
FRA,1998-Q1,57.29226
FRA,1998-Q2,69.43263
FRA,1998-Q3,67.52571
FRA,1998-Q4,61.5849
FRA,1999-Q1,70.09581
FRA,1999-Q2,74.99231
FRA,1999-Q3,78.75133
FRA,1999-Q4,88.41084
FRA,2000-Q1,104.4152
FRA,2000-Q2,108.2322
FRA,2000-Q3,111.5453
FRA,2000-Q4,103.8723
FRA,2001-Q1,95.78524
FRA,2001-Q2,92.98515
FRA,2001-Q3,80.79819
FRA,2001-Q4,76.68869
FRA,2002-Q1,78.87881
FRA,2002-Q2,76.47044
FRA,2002-Q3,59.85474
FRA,2002-Q4,55.76531
FRA,2003-Q1,51.37035
FRA,2003-Q2,53.87585
FRA,2003-Q3,58.89994
FRA,2003-Q4,62.44814
FRA,2004-Q1,67.13007
FRA,2004-Q2,67.70391
FRA,2004-Q3,66.61713
FRA,2004-Q4,69.28991
FRA,2005-Q1,73.87686
FRA,2005-Q2,76.14763
FRA,2005-Q3,82.96521
FRA,2005-Q4,85.76064
FRA,2006-Q1,94.05419
FRA,2006-Q2,95.15109
FRA,2006-Q3,95.37347
FRA,2006-Q4,102.7277
FRA,2007-Q1,107.2404
FRA,2007-Q2,114.3064
FRA,2007-Q3,108.9608
FRA,2007-Q4,107.6781
FRA,2008-Q1,92.50663
FRA,2008-Q2,92.55466
FRA,2008-Q3,81.74404
FRA,2008-Q4,62.39322
FRA,2009-Q1,55.13385
FRA,2009-Q2,60.15722
FRA,2009-Q3,66.77007
FRA,2009-Q4,72.60892
FRA,2010-Q1,73.83099
FRA,2010-Q2,71.88313
FRA,2010-Q3,70.70559
FRA,2010-Q4,75.10619
FRA,2011-Q1,78.68575
FRA,2011-Q2,78.4476
