LOCATION,DATE,CLIR
DEN,2/29/20,-0.41
DEN,3/31/20,-0.41
DEN,4/30/20,-0.21
DEN,5/31/20,-0.29
DEN,6/30/20,-0.26
DEN,7/31/20,-0.34
DEN,8/31/20,-0.36
DEN,9/30/20,-0.39
DEN,10/31/20,-0.46
DEN,11/30/20,-0.46
DEN,12/31/20,-0.47
DEN,1/31/21,-0.44
DEN,2/28/21,-0.28
DEN,3/31/21,-0.03
DEN,4/30/21,0
DEN,5/31/21,0.11
DEN,6/30/21,0.11
DEN,7/31/21,-0.05
DEN,8/31/21,-0.16
DEN,9/30/21,-0.01
DEN,10/31/21,0.1
DEN,11/30/21,0.01
DEN,12/31/21,-0.08
DEN,1/31/22,0.11
DEN,2/28/22,0.46
DEN,3/31/22,0.57
DEN,4/30/22,1.04
DEN,5/31/22,1.3
DEN,6/30/22,1.84
DEN,7/31/22,1.59
DEN,8/31/22,1.38
DEN,9/30/22,2.2
DEN,10/31/22,2.6
DEN,11/30/22,2.38
DEN,12/31/22,2.29
DEN,1/31/23,2.43
DEN,2/28/23,2.55
DEN,3/31/23,2.55
DEN,4/30/23,2.6
DEN,5/31/23,2.54
DEN,6/30/23,2.57
DEN,7/31/23,2.7
DEN,8/31/23,2.77
DEN,9/30/23,2.83
DEN,10/31/23,3.05
