LOCATION,TIME,COMPEMPLOYEEACTY
CHN,2016,51.54484611
CHN,2017,51.64570181
CHN,2018,51.67379604
CHN,2019,52.02741239
SVK,1995,45.30529789
SVK,1996,46.30730973
SVK,1997,47.73787283
SVK,1998,47.41614452
SVK,1999,45.46434097
SVK,2000,45.54242196
SVK,2001,43.92354265
SVK,2002,43.82781353
SVK,2003,42.88807785
SVK,2004,40.77246618
SVK,2005,41.08820067
SVK,2006,39.94143159
SVK,2007,39.32997798
SVK,2008,39.18102308
SVK,2009,41.43298387
SVK,2010,40.00997926
SVK,2011,40.32727135
SVK,2012,40.12400087
SVK,2013,40.66098073
SVK,2014,41.44133819
SVK,2015,42.11029873
SVK,2016,43.60766118
SVK,2017,45.39190497
SVK,2018,46.38025708
SVK,2019,47.64953812
SVK,2020,48.94276209
SVK,2021,48.49369849
SVK,2022,47.73187098
SVN,1995,63.29510616
SVN,1996,61.47473595
SVN,1997,58.555913
SVN,1998,57.65117504
SVN,1999,56.86178087
SVN,2000,57.87375309
SVN,2001,57.96451727
SVN,2002,57.44781374
SVN,2003,56.90107869
SVN,2004,57.00100251
SVN,2005,57.15589428
SVN,2006,56.60269773
SVN,2007,55.99493851
SVN,2008,57.08101529
SVN,2009,59.21699028
SVN,2010,60.00775455
SVN,2011,58.6439876
SVN,2012,58.73485003
SVN,2013,57.35994501
SVN,2014,56.58428149
SVN,2015,56.36914497
SVN,2016,56.99756309
SVN,2017,56.85319715
SVN,2018,57.10093702
SVN,2019,58.00709099
SVN,2020,60.65503293
SVN,2021,60.03867238
SVN,2022,59.10823807
JPN,1995,51.40950233
JPN,1996,50.96906778
JPN,1997,51.45053093
JPN,1998,51.21305822
JPN,1999,50.82974013
JPN,2000,50.35698372
JPN,2001,50.41777049
JPN,2002,49.09353131
JPN,2003,48.63703923
JPN,2004,48.23803592
JPN,2005,48.69055248
JPN,2006,49.42997312
JPN,2007,49.31064727
JPN,2008,50.47218299
JPN,2009,51.19757766
JPN,2010,49.66516457
JPN,2011,50.81659935
JPN,2012,50.54187295
JPN,2013,50.10587053
JPN,2014,50.0180032
JPN,2015,48.70379303
JPN,2016,49.27803528
JPN,2017,49.40232372
JPN,2018,50.79823782
JPN,2019,51.6768302
JPN,2020,52.77562394
JPN,2021,52.72857407
AUT,1995,56.70105955
AUT,1996,55.86960415
AUT,1997,55.19951216
AUT,1998,54.9913726
AUT,1999,55.1032298
