LOCATION,TIME,HHSAV
NZL,2006,-3.828200839
NZL,2007,-0.11493501
NZL,2008,-2.087281291
NZL,2009,1.275225528
NZL,2010,2.121887414
NZL,2011,2.678904389
NZL,2012,1.24339024
NZL,2013,0.880529322
NZL,2014,-0.37673652
NZL,2015,-0.30328168
NZL,2016,-0.099434085
NZL,2017,-0.139282205
NZL,2018,0.813051848
NZL,2019,3.055263436
NZL,2020,9.261467783
NZL,2021,3.557504434
NOR,1995,4.345671188
NOR,1996,2.060441683
NOR,1997,2.632162877
NOR,1998,5.310404064
NOR,1999,4.289362439
NOR,2000,3.844709092
NOR,2001,2.609728376
NOR,2002,7.8491976
NOR,2003,8.350274754
NOR,2004,6.554182678
NOR,2005,9.334124232
NOR,2006,-0.876650293
NOR,2007,0.215888015
NOR,2008,2.864602796
NOR,2009,4.533048203
NOR,2010,3.745943481
NOR,2011,5.806467277
NOR,2012,6.906575457
NOR,2013,7.216358462
NOR,2014,7.82789225
NOR,2015,9.766478684
NOR,2016,6.903768588
NOR,2017,6.571307405
NOR,2018,5.926761424
NOR,2019,7.060547059
NOR,2020,12.8832977
NOR,2021,13.29453688
POL,1999,9.946498988
POL,2000,10.15317673
POL,2001,11.65555406
POL,2002,8.270141778
POL,2003,7.302361979
POL,2004,2.779565736
POL,2005,2.12530014
POL,2006,2.189098534
POL,2007,1.882025968
POL,2008,0.101100313
POL,2009,2.481709594
POL,2010,4.134781907
POL,2011,1.368753995
POL,2012,1.414182299
POL,2013,2.215268484
POL,2014,3.679885573
POL,2015,2.172295295
POL,2016,4.296320875
POL,2017,1.887244703
POL,2018,1.392995784
POL,2019,2.523171646
POL,2020,9.457812298
POL,2021,1.999749443
POL,2022,-2.886656257
PRT,1995,7.552201291
PRT,1996,6.43319595
PRT,1997,6.165819747
PRT,1998,7.625016726
PRT,1999,7.183703456
PRT,2000,6.083531635
PRT,2001,6.383318162
PRT,2002,6.21946348
PRT,2003,5.611221721
PRT,2004,4.071028495
PRT,2005,2.764203711
PRT,2006,0.835053618
PRT,2007,-0.399222918
PRT,2008,-0.86949069
PRT,2009,4.067742593
PRT,2010,1.572311444
PRT,2011,0.60741232
PRT,2012,2.068462638
PRT,2013,1.645299125
PRT,2014,-1.417590323
PRT,2015,-1.191869389
PRT,2016,-1.305544646
PRT,2017,-2.241421702
PRT,2018,-2.466641337
PRT,2019,-2.170807117
PRT,2020,2.098257089
PRT,2021,0.361874039
PRT,2022,-4.760155473
SVK,1995,3.076216455
SVK,1996,6.81904303
