LOCATION,TIME,QGDP
JPN,1995-Q3,1.171866868
JPN,1995-Q4,0.233460658
JPN,1996-Q1,0.830043275
JPN,1996-Q2,1.274879753
JPN,1996-Q3,0.119812101
JPN,1996-Q4,1.116140166
JPN,1997-Q1,0.254483295
JPN,1997-Q2,-0.738161017
JPN,1997-Q3,0.185046169
JPN,1997-Q4,0.044991555
JPN,1998-Q1,-1.224745543
JPN,1998-Q2,-0.435219284
JPN,1998-Q3,0.178714043
JPN,1998-Q4,0.808744876
JPN,1999-Q1,-1.382290219
JPN,1999-Q2,0.374807253
JPN,1999-Q3,0.544252691
JPN,1999-Q4,0.038457298
JPN,2000-Q1,1.691195138
JPN,2000-Q2,0.46855948
JPN,2000-Q3,0.038539554
