Country,Time,ngdpsa,hdisa,gssa,compsa,emplsa,sharep,neer,tot,hpi,ir_mort,ir_cons,oecd,imfdeveloped,eu,ea
Transformation,,gr,gr,gr,gr,gr,gr,gr,gr,gr,n,n,n,n,n,n
SA,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Reciprocal,,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
HUN,10/31/21,2.384345883,2.94,13.06652411,47.03844837,4690.96,250.0295,98.514167,98.48242523,222.097675,4.2,,,,,
HUN,1/31/22,1.493516185,-0.95,,45.82867896,4704.291,231.3313,89.695,92.97298072,271.4972,3.95,,,,,
HUN,4/30/22,0.798848951,0.01,,45.82867896,4706.144,196.9096,89.695,92.97298072,271.4972,4.42,,,,,
HUN,7/31/22,-0.954200743,-0.13,,45.82867896,4709.057,195.7475,89.695,92.97298072,271.4972,4.58,,,,,
HUN,10/31/22,-0.63614829,0.11,,45.82867896,4716.609,204.2352,89.695,92.97298072,271.4972,4.04,,,,,
HUN,1/31/23,-0.400312126,-2.77,,,4725.207,212.4625,,,,4.02,,,,,
HUN,4/30/23,-0.285598477,2.98,,,4733.48,221.6279,,,,3.99,,,,,
SVN,4/30/18,1.330210134,0.39,6.271849283,57.10093702,979.6191,116.2774,98.518334,100.1703077,103.70505,2.44,2.85,,,,
SVN,7/31/18,1.369940225,1.29,6.271849283,57.10093702,982.79,116.7741,98.518334,100.1703077,103.70505,2.4,2.62,,,,
SVN,10/31/18,1.201631171,1.89,6.271849283,57.10093702,984.89,108.7804,98.518334,100.1703077,103.70505,2.4,2.7,,,,
SVN,1/31/19,0.620001989,0.95,6.125124014,58.00709099,988.0211,113.0039,98.4325,100.7044991,110.652275,2.45,2.84,,,,
SVN,4/30/19,-0.376670489,0.99,6.125124014,58.00709099,987.4526,117.5974,98.4325,100.7044991,110.652275,2.44,2.74,,,,
SVN,7/31/19,1.649736459,-0.6,6.125124014,58.00709099,975.605,115.8816,98.4325,100.7044991,110.652275,2.3,2.55,,,,
SVN,10/31/19,1.184951184,-1.68,6.125124014,58.00709099,979.0213,118.962,98.4325,100.7044991,110.652275,2.23,2.59,,,,
SVN,1/31/20,-4.691597387,9.08,16.33448577,60.65503293,994.52,120.5952,100.000833,101.4313175,115.7438,2.19,2.95,,,,
SVN,4/30/20,-9.800753862,-6.24,16.33448577,60.65503293,966.1069,109.3825,100.000833,101.4313175,115.7438,2.28,3.22,,,,
SVN,7/31/20,13.00451334,3.34,16.33448577,60.65503293,970.3333,114.1028,100.000833,101.4313175,115.7438,2.14,2.65,,,,
SVN,10/31/20,-1.253408569,1.73,16.33448577,60.65503293,981.1399,114.7532,100.000833,101.4313175,115.7438,1.97,2.77,,,,
SVN,1/31/21,1.778404022,2.65,12.11443779,60.03867238,944.2425,128.1418,100.864167,99.31532979,129.105,1.94,2.62,,,,
SVN,4/30/21,1.890392747,-2.57,12.11443779,60.03867238,976.6401,145.9951,100.864167,99.31532979,129.105,1.8,2.43,,,,
SVN,7/31/21,2.902131652,4.12,12.11443779,60.03867238,986.8785,156.6722,100.864167,99.31532979,129.105,1.77,2.36,,,,
SVN,10/31/21,3.401129616,-0.46,12.11443779,60.03867238,978.4389,162.1429,100.864167,99.31532979,129.105,1.7,2.14,,,,
SVN,1/31/22,1.16375008,1.03,,59.10823807,995.2581,164.9397,100.898333,96.26737545,148.157075,1.67,2.32,,,,
SVN,4/30/22,0.612437275,-2.83,,59.10823807,982.6254,155.1288,100.898333,96.26737545,148.157075,1.75,2.17,,,,
SVN,7/31/22,-1.269412403,-0.76,,59.10823807,985.2588,149.1515,100.898333,96.26737545,148.157075,2.24,2.24,,,,
SVN,10/31/22,0.798187563,0.25,,59.10823807,981.3577,138.7724,100.898333,96.26737545,148.157075,3.07,3.5,,,,
SVN,1/31/23,0.744497995,4.23,,,984.4007,154.9081,,,,3.86,4.34,,,,
