LOCATION,TIME,QGDP,HHSAV,HHDI,ECT,EMP,CLIR,TERMTRADE,SHPRICE,EER,RPP,MORT
AUS,7/31/19,0.709203244,12.2218128,2.03,51.48317657,74.44659,,124.1593514,120.9353,100.126667,133.6399,
AUS,10/31/19,0.531500413,12.2218128,-0.83,51.48317657,74.41254,,124.1593514,122.3597,99.826667,133.6399,
AUS,1/31/20,-0.207851303,15.33103285,0.91,51.07031822,74.51093,,136.6755181,117.4883,96.393333,140.8519,
AUS,4/30/20,-6.713785015,15.33103285,3.42,51.07031822,70.48043,,136.6755181,101.6897,97.563333,140.8519,
AUS,7/31/20,3.788415415,15.33103285,3.51,51.07031822,72.05723,,136.6755181,109.3695,103.246667,140.8519,
AUS,10/31/20,3.349996508,15.33103285,-2.59,51.07031822,73.56229,,136.6755181,116.2053,102.793333,140.8519,
AUS,1/31/21,2.129787678,13.02784245,0.87,49.04116889,74.34381,,152.4308976,123.1831,107.256667,165.392075,
AUS,4/30/21,0.676470255,13.02784245,-1.46,49.04116889,75.13034,,152.4308976,129.6213,107.323333,165.392075,
AUS,7/31/21,-2.081502347,13.02784245,3.97,49.04116889,74.80534,,152.4308976,135.0823,103.603333,165.392075,
AUS,10/31/21,3.88480599,13.02784245,-1.35,49.04116889,75.3378,,152.4308976,134.0138,103.716667,165.392075,
AUS,1/31/22,0.619193903,,-0.37,48.91696938,76.69986,,149.7475444,131.62,103.546667,179.743475,
AUS,4/30/22,0.723268248,,-1.59,48.91696938,77.13078,,149.7475444,130.1197,106.486667,179.743475,
AUS,7/31/22,0.674356247,,-0.7,48.91696938,77.5108,,149.7475444,124.2215,105.89,179.743475,
AUS,10/31/22,0.652830803,,-2.85,48.91696938,77.56709,,149.7475444,127.5049,103.226667,179.743475,
AUS,1/31/23,0.372295866,,-1.09,,77.47282,,,132.4237,103.55,,
AUS,4/30/23,0.355691512,,-0.53,,77.51906,,,131.7408,102.14,,
GBR,1/31/95,0.250800926,10.12745225,,49.6592942,69.2086,,88.38994722,46.29012,99.943333,33.4099,
GBR,4/30/95,0.182819088,10.12745225,,49.6592942,69.42632,,88.38994722,49.72734,97.173333,33.4099,
GBR,7/31/95,1.001778287,10.12745225,,49.6592942,69.63885,,88.38994722,52.80795,97.443333,33.4099,
GBR,10/31/95,0.178658391,10.12745225,,49.6592942,69.94743,,88.38994722,54.393,97.113333,33.4099,
GBR,1/31/96,0.404140934,9.026638465,,48.6581821,69.90453,,89.77309404,56.36905,97.286667,34.633325,
GBR,4/30/96,0.039821691,9.026638465,,48.6581821,69.93823,,89.77309404,57.03868,98.736667,34.633325,
GBR,7/31/96,1.063589112,9.026638465,,48.6581821,70.01639,,89.77309404,58.00566,100.163333,34.633325,
GBR,10/31/96,0.99572411,9.026638465,,48.6581821,70.33995,,89.77309404,60.80261,106.803333,34.633325,
GBR,1/31/97,1.532448804,6.382320039,,50.57042911,70.76462,,88.13141765,64.85148,112.196667,37.66925,
GBR,4/30/97,1.061110574,6.382320039,,50.57042911,71.02432,,88.13141765,68.66288,114.876667,37.66925,
GBR,7/31/97,0.934035136,6.382320039,,50.57042911,71.07834,,88.13141765,74.80024,118.1,37.66925,
GBR,10/31/97,1.45499958,6.382320039,,50.57042911,71.19907,,88.13141765,76.21621,120.956667,37.66925,
GBR,1/31/98,0.600514803,3.155790501,,50.87336948,71.27648,,88.19548557,84.71313,124.79,42.004075,
GBR,4/30/98,0.532167608,3.155790501,,50.87336948,71.2774,,88.19548557,89.75805,124.95,42.004075,
GBR,7/31/98,0.300977384,3.155790501,,50.87336948,71.56174,,88.19548557,84.48594,125.303333,42.004075,
GBR,10/31/98,0.625417867,3.155790501,,50.87336948,71.78155,,88.19548557,82.61916,122.026667,42.004075,
GBR,1/31/99,0.71753313,1.930887269,,52.85707419,71.85828,,89.54628557,91.76522,122.703333,46.56545,
GBR,4/30/99,0.404129602,1.930887269,,52.85707419,71.88622,,89.54628557,97.08533,125.356667,46.56545,
GBR,7/31/99,1.680630967,1.930887269,,52.85707419,72.11771,,89.54628557,94.77519,125.14,46.56545,
GBR,10/31/99,1.44958507,1.930887269,,52.85707419,72.2747,,89.54628557,97.44317,127.86,46.56545,
GBR,1/31/00,1.161303589,4.063876159,,53.82652415,72.26537,,88.8679448,97.11412,129.76,53.498175,
GBR,4/30/00,0.654921704,4.063876159,,53.82652415,72.47532,,88.8679448,95.91545,128.24,53.498175,
GBR,7/31/00,0.510036966,4.063876159,,53.82652415,72.62865,,88.8679448,97.95408,126.256667,53.498175,
GBR,10/31/00,0.429040478,4.063876159,,53.82652415,72.49927,,88.8679448,95.4475,127.496667,53.498175,
GBR,1/31/01,0.856367003,3.914465849,,54.87427712,72.64088,,89.92753382,91.11514,125.373333,57.8632,
GBR,4/30/01,0.366006178,3.914465849,,54.87427712,72.67834,,89.92753382,87.94016,127.253333,57.8632,
GBR,7/31/01,0.460117524,3.914465849,,54.87427712,72.5294,,89.92753382,79.83655,127.653333,57.8632,
GBR,10/31/01,0.162426854,3.914465849,,54.87427712,72.58215,,89.92753382,78.26005,128.093333,57.8632,
GBR,1/31/02,0.347322027,3.726676072,,54.0624181,72.45824,,90.87522262,78.70919,128.66,67.19745,
GBR,4/30/02,0.525863509,3.726676072,,54.0624181,72.68372,,90.87522262,76.55653,127.62,67.19745,
GBR,7/31/02,0.725898944,3.726676072,,54.0624181,72.57182,,90.87522262,62.96227,129.71,67.19745,
GBR,10/31/02,0.838067847,3.726676072,,54.0624181,72.87263,,90.87522262,60.75179,130.53,67.19745,
GBR,1/31/03,0.633321254,2.354463899,,53.91934977,72.68249,,91.47609481,55.98009,127.186667,77.74,
GBR,4/30/03,0.856305203,2.354463899,,53.91934977,72.88149,,91.47609481,60.50943,123.643333,77.74,
GBR,7/31/03,0.985626756,2.354463899,,53.91934977,72.78049,,91.47609481,63.16071,123.34,77.74,
GBR,10/31/03,0.777338573,2.354463899,,53.91934977,72.76896,,91.47609481,65.89408,125.593333,77.74,
GBR,1/31/04,0.44474421,2.69558676,,54.88867198,73.03226,,92.30495196,67.53249,131.12,86.9534,
GBR,4/30/04,0.529076685,2.69558676,,54.88867198,72.87817,,92.30495196,67.95894,132.06,86.9534,
GBR,7/31/04,0.238714305,2.69558676,,54.88867198,72.86763,,92.30495196,67.28012,131.76,86.9534,
GBR,10/31/04,0.316186089,2.69558676,,54.88867198,73.04147,,92.30495196,71.47146,129.236667,86.9534,
GBR,1/31/05,0.750302595,2.222884063,,54.83536073,73.07851,,92.80628506,74.72226,129.286667,91.71795,
GBR,4/30/05,0.946491587,2.222884063,,54.83536073,72.89326,,92.80628506,75.1292,130.41,91.71795,
GBR,7/31/05,0.857838571,2.222884063,,54.83536073,73.04482,,92.80628506,80.50803,127.81,91.71795,
GBR,10/31/05,1.043946134,2.222884063,,54.83536073,72.67564,,92.80628506,82.40216,127.493333,91.71795,
GBR,1/31/06,0.344745269,2.655546964,,55.14647488,72.90321,,92.3830171,88.21346,126.246667,98.9088,
GBR,4/30/06,0.235756048,2.655546964,,55.14647488,72.84257,,92.3830171,88.81378,128.046667,98.9088,
GBR,7/31/06,0.142617665,2.655546964,,55.14647488,72.81538,,92.3830171,88.99722,130.626667,98.9088,
GBR,10/31/06,0.436638333,2.655546964,,55.14647488,72.70507,,92.3830171,93.21721,132.123333,98.9088,
GBR,1/31/07,1.040825177,3.881429513,,56.11944829,72.50254,,91.92663662,95.05199,133.206667,108.70175,
GBR,4/30/07,0.658963332,3.881429513,-1.15,56.11944829,72.64994,,91.92663662,99.06829,132.396667,108.70175,
GBR,7/31/07,0.760831396,3.881429513,1.23,56.11944829,72.68157,,91.92663662,96.47054,132.506667,108.70175,
GBR,10/31/07,0.660700654,3.881429513,-0.31,56.11944829,72.90926,,91.92663662,97.85562,128.773333,108.70175,
GBR,1/31/08,0.484699608,3.018094045,-1.52,55.18330845,72.97685,,89.81093355,89.05438,121.243333,103.777275,
GBR,4/30/08,-0.476414117,3.018094045,0.83,55.18330845,72.90055,,89.81093355,90.75734,117.37,103.777275,
GBR,7/31/08,-1.513153285,3.018094045,-1.83,55.18330845,72.43549,,89.81093355,81.24842,115.323333,103.777275,
GBR,10/31/08,-2.235659661,3.018094045,1.68,55.18330845,72.17339,,89.81093355,64.55611,106.22,103.777275,
GBR,1/31/09,-1.940930979,5.743894716,-1.43,55.81267046,71.67367,,92.92570557,61.27649,98.893333,94.627875,
GBR,4/30/09,-0.286786226,5.743894716,2.56,55.81267046,70.83978,,92.92570557,64.57182,103.133333,94.627875,
GBR,7/31/09,0.132204777,5.743894716,-0.63,55.81267046,70.61582,,92.92570557,71.62496,105.136667,94.627875,
GBR,10/31/09,0.341005222,5.743894716,0.62,55.81267046,70.55235,,92.92570557,79.46201,101.89,94.627875,
GBR,1/31/10,0.949826918,6.840930941,-0.12,55.67455692,70.19494,,94.32639878,82.20958,100.813333,100.000025,
GBR,4/30/10,1.143742541,6.840930941,0.08,55.67455692,70.42103,,94.32639878,81.37402,101.05,100.000025,
GBR,7/31/10,0.63431984,6.840930941,-0.63,55.67455692,70.70692,,94.32639878,80.61408,103.493333,100.000025,
GBR,10/31/10,0.137385936,6.840930941,-0.94,55.67455692,70.39026,,94.32639878,87.45341,101.463333,100.000025,
GBR,1/31/11,0.253645895,4.163674033,-2.89,55.52740205,70.54754,,93.35397516,90.20271,102.11,98.517075,
GBR,4/30/11,0.05554265,4.163674033,1.54,55.52740205,70.45168,,93.35397516,89.70702,100.326667,98.517075,
GBR,7/31/11,0.153660086,4.163674033,-0.22,55.52740205,70.10457,,93.35397516,82.9113,100.106667,98.517075,
GBR,10/31/11,-0.041728047,4.163674033,-0.9,55.52740205,70.21859,,93.35397516,82.35889,101.7,98.517075,
GBR,1/31/12,0.830481781,3.368760217,1.95,54.8291014,70.46846,,94.26867802,88.23949,102.616667,98.936775,
GBR,4/30/12,-0.056038575,3.368760217,0.83,54.8291014,70.90865,,94.26867802,84.18119,105.193333,98.936775,
GBR,7/31/12,1.242536205,3.368760217,-0.54,54.8291014,71.1291,,94.26867802,87.12927,106.323333,98.936775,
GBR,10/31/12,-0.101464519,3.368760217,-0.45,54.8291014,71.40636,,94.26867802,88.6813,105.633333,98.936775,
GBR,1/31/13,0.234370798,2.881404326,-0.95,54.9065907,71.17896,,95.69699864,95.53596,101.433333,101.48295,
GBR,4/30/13,0.678973491,2.881404326,2.13,54.9065907,71.3327,,95.69699864,97.57661,101.59,101.48295,
GBR,7/31/13,0.749008394,2.881404326,1.67,54.9065907,71.65405,,95.69699864,99.01932,102.556667,101.48295,
GBR,10/31/13,0.642727656,2.881404326,0.55,54.9065907,71.99537,,95.69699864,100.333,105.53,101.48295,
GBR,1/31/14,0.937213186,1.814653693,-0.43,53.88260626,72.46066,,97.60655691,101.2975,108.186667,109.625075,
GBR,4/30/14,0.874234419,1.814653693,-0.1,53.88260626,72.8286,,97.60655691,102.5416,109.846667,109.625075,
GBR,7/31/14,0.759640948,1.814653693,-0.09,53.88260626,73.04346,,97.60655691,102.4292,111.163333,109.625075,
GBR,10/31/14,0.650659625,1.814653693,1.16,53.88260626,73.20126,,97.60655691,99.0742,110.196667,109.625075,
GBR,1/31/15,0.412696486,4.40537274,1.83,54.09624173,73.43697,,100,102.9898,112.82,116.172375,
